vendor_id,service,vendor,countries,data_classification,cost_model,exit_plan,status
VND-001,Identity,Clerk,Global,Identity/PII,MAU-based,Identity adapter + export IDs,active-development
VND-002,Database/Storage/Realtime,Supabase,Region-based,PII/Content,Compute+storage+egress,Postgres dumps + S3-compatible export,blocked-project-inactive
VND-003,CDN/WAF/DDoS,Cloudflare,Global,Public content/traffic metadata,Usage/plan,DNS export + standard cache headers,proposed
VND-004,Search,Managed OpenSearch-compatible service,Multi-region,Listings/search telemetry,Compute/index/storage,Search adapter + snapshot/export,evaluation
VND-005,Transactional Email,Provider via mail adapter,Global with restrictions,Email/notifications,Volume,Template export + DNS portability,evaluation
VND-006,Push Notifications,Web Push/APNs/FCM adapter,Global,Device tokens,Volume,Token export + provider abstraction,evaluation
VND-007,Error Monitoring,Sentry-compatible service,Global,Technical telemetry,Events/seats,OpenTelemetry export,evaluation
VND-008,Product Analytics,Privacy-aware analytics adapter,Global,Pseudonymous events,Events,Event export + dual-write period,evaluation
VND-009,Payments,Hosted checkout provider,Country-dependent,Billing data,Transaction/subscription,Ledger remains internal + provider adapter,evaluation
VND-010,Object Malware Scan,ClamAV/service adapter,Global,Uploaded files,Compute/scan,Quarantine contract,evaluation
VND-011,Translation Management,TMS adapter,Global,Localized content,Seats/strings,XLIFF/JSON export,evaluation
VND-012,Feature Flags,Self-hosted/config provider,Global,Configuration,Seats/requests,Database-backed fallback,proposed
VND-013,Secrets,Hosting secret manager,Region-based,Secrets,Included/usage,Encrypted export and rotation runbook,required
VND-014,Load Testing,k6-compatible runner,Global,Synthetic telemetry,Compute,Scripts remain repository-owned,required
VND-015,Backups,Supabase PITR + encrypted external exports,Region-based,All database classes,Plan/storage,Portable pg_dump and restore drills,required
