track	indicator	file	line	preliminary_risk	reason	recommended_next_action
Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_profiles_remove_legacy_auth_uid_policies.sql	2	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	47	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	65	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	83	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	84	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	ACCOUNT-CHOOSER-SPEC.md	45	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	ACCOUNT-CHOOSER-SPEC.md	46	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	ACCOUNT-CHOOSER-SPEC.md	48	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	ADMIN-SETUP-GUIDE.md	33	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	ADMIN-SETUP.sql	7	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	AGENTS.md	25	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	DOCUMENTATION-INDEX.md	19	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	EMAIL-TEMPLATE-VARIABLES.md	19	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	EMAIL-TEMPLATE-VARIABLES.md	57	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	EMAIL-TEMPLATE-VARIABLES.md	98	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	EMAIL-VERIFICATION-SETUP.md	253	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	GOOGLE-ONE-TAP-SETUP.md	40	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	PRODUCT-REQUIREMENTS-ADDENDUM.md	56	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	PRODUCT-REQUIREMENTS-ADDENDUM.md	71	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	PRODUCT-REQUIREMENTS-ADDENDUM.md	72	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	QA-FINAL-REPORT.md	101	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	README.md	15	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	README.md	46	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	README.md	76	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	41	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	43	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	53	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	55	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	65	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	67	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	122	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-EMAIL-VERIFICATION-POLICIES.sql	123	High	Sensitive wording near auth/database/profile/config boundary	Manual secret review; if real secret exists, stop and rotate before any merge
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-QUICK-REFERENCE.md	80	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
Secrets Review	POSSIBLE_SECRET_WORDING	RLS-QUICK-REFERENCE.md	90	High	Potential secret/token/key wording in runtime-adjacent file	Manual review without printing value; redact and rotate if real
