path,file_type,purpose,runtime_referenced,owner_reference,status,risk,recommended_action,target_phase
.firebase/hosting..cache,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.firebaserc,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.git-auto-push.sh,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.github/workflows/pages.yml,yaml,repository asset,no,no,active,low,review_in_target_phase,deferred
.gitignore,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/auth-flow.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/auth.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/clerk-private-profile.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/clerk-test.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/data-deletion.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/index.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/privacy-policy.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/private-profile.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/public-profile.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/reset-password.html.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/scripts_profile-loader.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/scripts_require-auth.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/scripts_supabase-auth-bridge.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/scripts_supabase-config.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/scripts_vvip-safe-ux-guard.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
.local-backups/final-frontend-safety-sweep/social-ui.js.before-audit.20260709-194731,other,repository asset,no,no,active,low,review_in_target_phase,deferred
