decision_id,date,title,decision,reason,affected_tasks,owner,status
DEC-001,2026-07-20,مصدر حقيقة واحد,"كان اعتماد project_control والوثيقة التطبيقية V2 كمصدر رسمي قرارًا تاريخيًا عند نقطة 2026-07-20؛ وهو الآن HISTORICAL_EVIDENCE_ONLY / SUPERSEDED فيما يتعارض مع Issue #312. السلطة الحالية هي Issue #312 وdocs/architecture/OWNER_AUTHORITY_REGISTRY.md: DISCOVERY → RELEVANCE → EXPLANATION → CONTACT HANDOFF → TIGER STOPS.","حفظ provenance التاريخي مع منع أي أتمتة أو قارئ من إعادة منح V2 أسبقية على سلطة المالك الحالية.",G00-01|G01-01,Owner,approved
DEC-002,2026-07-20,منع التعديل المباشر على main,كل تغيير عبر فرع وPull Request واختبارات وRollback.,تقليل الأعطال والتعارض,G01-01|G01-02,Technical Lead,approved
DEC-003,2026-07-20,معمارية انتقالية عالمية,استخدام Strangler Pattern ونواة Modular Monolith بدل إعادة كتابة عمياء أو Microservices مبكرة.,حماية الموجود وتسريع الانتقال مع قابلية التوسع,G01-01|G02-01,Architecture,approved
DEC-004,2026-07-20,Clerk هوية وحيدة,إلغاء أي Runtime موازٍ للهوية واعتماد Clerk للجلسات والدخول.,منع تضارب الجلسات والحسابات,G03-01|G03-02,Security,approved
DEC-005,2026-07-20,Supabase نظام البيانات الأساسي,Postgres وStorage وRealtime بعد تحقق Staging وRLS، مع طبقة خدمة وعدم كشف Service Role.,نظام بيانات موحد وقابل للتدقيق,G03-03|G03-04,Backend Lead,approved
DEC-006,2026-07-20,مركز التحكم خادمي فقط,Schema project_control لا يصل إليه المتصفح مباشرة؛ الوصول عبر Backend مصادق ومخول.,حماية القرارات والمهام والأدلة,G01-03|G22-01,Security,approved
DEC-007,2026-07-20,الدول Deny by Default,أي دولة تبدأ مع تعطيل التسجيل والنشر والدفع حتى إغلاق المراجعة القانونية والتشغيلية.,منع إطلاق غير قانوني أو غير جاهز,G02-01|G19-01,Legal,approved
DEC-008,2026-07-20,PWA أولًا,إطلاق Web/PWA عالمي سريع قبل تطبيقات أصلية منفصلة.,تجربة عالمية موحدة وتكلفة أقل,G15-01|G15-02,Product,approved
DEC-009,2026-07-20,لا Escrow في Global V1,المنصة لا تحتفظ بأموال الصفقات بين المستخدمين؛ الدفع للاشتراكات والترويج فقط.,تقليل المخاطر المالية والتنظيمية,G13-01|G13-02,Owner|Legal,approved
DEC-010,2026-07-20,طبقة بحث مستقلة,تعريف Search Adapter وIndex Contract يسمح بتبديل مزود البحث دون تغيير تجربة المستخدم.,مرونة وتوسع وعدم الارتهان لمورد,G07-01|G17-01,Architecture,approved
DEC-011,2026-07-20,التجربة البحثية المرجعية,تبني أنماط سوق عالمية: موقع، فئة، سعر، فلاتر ديناميكية، موثوقية، حفظ بحث وتنبيهات؛ دون نسخ الهوية أو الكود من أي منصة.,بحث مألوف وسريع ومستقل,G07-01|G07-02,UX Lead,approved
DEC-012,2026-07-20,هدف السعة,"التصميم واختبارات الحمل تستهدف 4,000,000 مستخدم مسجل في السنة الأولى مع بوابات حمل متدرجة.",منع بناء محدود قصير العمر,G17-01|G18-01,SRE,approved
DEC-013,2026-07-20,الطابع القيمي والديني,اعتماد قيم الأمانة والعدل والإحسان والخصوصية، واستخدام النصوص المقدسة باحترام في سياقات مخصصة فقط.,هوية أخلاقية محترمة عالميًا,G00-03|G19-02,Owner|Content,approved
DEC-014,2026-07-20,لا استخدام مقدس كآلية أمن,أسماء الله الحسنى وحروف القرآن لا تستخدم كمفاتيح أو رموز تشفير أو CAPTCHA أو رسائل خطأ؛ الحماية تقنية مثبتة.,احترام المقدسات ومنع ادعاءات أمنية غير صحيحة,G18-01|G19-02,Security|Religious Review,approved
DEC-015,2026-07-20,لا حذف للمصادر,أي عنصر قديم أو مؤجل يحفظ في source registry أو strategic backlog مع بصمة ومصدر.,إمكانية الرجوع وعدم ضياع القرارات,G00-01|G22-02,Project Management,approved
DEC-016,2026-07-20,Feature Flags,كل وظيفة عالية المخاطر قابلة للإيقاف حسب الدولة والبيئة والدور.,إطلاق تدريجي وKill Switch,G01-03|G21-01,SRE,approved
DEC-017,2026-07-20,الدليل شرط الإكمال,لا تصبح المهمة done دون اختبار ونتيجة وArtifact ومالك ومراجعة.,منع الإكمال الوهمي,G20-01|G22-01,QA,approved
DEC-018,2026-07-20,السرعة للإنترنت الضعيف,الصفحات الأساسية تعمل بمحتوى تدريجي وصور متكيفة وطلبات قابلة للإلغاء وإعادة المحاولة.,شمول المستخدمين عالميًا,G15-02|G17-02,Frontend Lead,approved
