priority_batch	priority_rank	track	indicator	file	line	preliminary_risk	triage_focus	required_manual_check	candidate_future_action
B1	166	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	664	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	167	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	709	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	168	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	709	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	169	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	714	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	170	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	715	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	171	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	715	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	172	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	716	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	173	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	718	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	174	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	718	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	175	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	754	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	176	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	759	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	177	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	761	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	178	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	767	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	179	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	777	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	180	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	778	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	181	Secrets Review	POSSIBLE_SECRET_WORDING	clerk-private-profile.html	1015	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	182	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1219	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	183	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1244	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	184	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1266	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	185	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1291	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	186	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1336	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	187	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1361	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	188	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1463	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	189	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1500	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	190	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1620	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	191	Logging Review	CONSOLE_LOGGING	clerk-private-profile.html	1622	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
