gate_id,gate_name,criterion,evidence,owner,status,approved_at
GATE-01,Source of Truth,"All canonical documents, tasks, requirements and dependencies pass integrity checks",CI test report + manifest hashes,PMO,not_started,
GATE-02,Repository Write Path,"Protected branch, PR workflow and reviewers configured",GitHub settings screenshot/API evidence,Technical Lead,not_started,
GATE-03,Development Database,Active Supabase dev/branch with migrations applied,Migration list + schema diff,Database Lead,not_started,
GATE-04,Identity Security,"Production Clerk instance, allowlisted redirects, authorized parties and webhooks verified",Security test report,Security,not_started,
GATE-05,Data Isolation,RLS and Storage policies pass A/B user tests,Automated policy tests,Security,not_started,
GATE-06,Marketplace Core,Create-review-publish-search-detail lifecycle passes E2E,E2E report and video evidence,Product/QA,not_started,
GATE-07,Messaging Privacy,Only conversation parties can access messages and attachments,RLS/API tests,Security/QA,not_started,
GATE-08,Country Readiness,"Each enabled country has legal, language, currency and prohibited-category approval",Country matrix approvals,Legal,not_started,
GATE-09,Payment Integrity,"Hosted checkout, signed webhooks, idempotency and ledger reconciliation pass",Payment sandbox report,Finance/QA,not_started,
GATE-10,Performance,Core Web Vitals and API/search SLOs pass at required load tiers,Load and RUM report,SRE,not_started,
GATE-11,Weak Network,Core journeys work on constrained network profile with retry and low-data mode,Device/network test evidence,UX/QA,not_started,
GATE-12,Accessibility,Critical journeys meet WCAG AA acceptance checks,Automated + manual audit,Accessibility Lead,not_started,
GATE-13,Trust & Safety,"Report, moderation, appeal and audit trail operate end-to-end",Scenario test evidence,Trust & Safety,not_started,
GATE-14,Disaster Recovery,Restore drill meets RPO/RTO and emergency read-only mode works,DR exercise report,SRE,not_started,
GATE-15,Global GA,"No critical vulnerabilities, open launch blockers or unresolved SEV-1/2 defects",Signed launch checklist,Owner,not_started,
