requirement_id,section,requirement_text,domain,priority,status,source_file,source_line,implementation_state,test_state,evidence_state,rollback_state
VVIP-GV1-0001,VVIP TIGER — المرجع التنفيذي النهائي المستخرج,المصدر: `docs/specifications/VVIPTIGER 20268-1.docx`,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,3,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0002,VVIP TIGER — المرجع التنفيذي النهائي المستخرج,تاريخ الاستخراج: `2026-07-24T09:30:05.113670+00:00`,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,4,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0003,VVIP TIGER — المرجع التنفيذي النهائي المستخرج,حجم المصدر: `111008` بايت,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,5,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0004,VVIP TIGER — المرجع التنفيذي النهائي المستخرج,SHA-256: `22cc932c049232a1ed31cca35db3314eef25a17651d53901b673f9ceacac6bfd`,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,6,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0005,المحتوى الرئيسي,المرجع الرئيسي للتنفيذ الفوري والتحقق والإطلاق العالمي,OPERATIONS_RELEASE,P1,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,14,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0006,قرار الاعتماد الأساسي,هذه الوثيقة هي المرجع الرئيسي للتنفيذ. أي نقطة غير واضحة تُفسر لاحقًا في ADR موثق، دون تعطيل الأعمال التي لا تعتمد عليها.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,37,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0007,قرار الاعتماد الأساسي,تُدمج جميع المعلومات الناقصة من المرجع السابق داخل هذه النسخة، وتصبح جزءًا ملزمًا من النطاق.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,38,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0008,قرار الاعتماد الأساسي,أي تعارض بين التنفيذ الحالي وهذه الوثيقة يُحسم لمصلحة سلامة المنصة ومتطلبات هذه الوثيقة بوصفها أحدث إصدار.,GENERAL_PRODUCT,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,39,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0009,قرار الاعتماد الأساسي,لا يؤجل أي متطلب وارد في الوثيقة إلى إصدار مستقبلي. العائق الخارجي الحقيقي يُسجل BLOCKED_EXTERNAL مع استكمال كل ما يمكن تنفيذه داخليًا.,OPERATIONS_RELEASE,P2,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,40,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
VVIP-GV1-0010,قرار الاعتماد الأساسي,الموافقة الممنوحة واسعة لتنفيذ التعديلات اللازمة داخل فرع آمن، لكنها لا تلغي النسخ الاحتياطي أو الاختبارات أو حماية الإنتاج والأسرار.,SECURITY_PRIVACY,P0,NOT_STARTED,docs/specifications/VVIP_TIGER_GLOBAL_EXECUTION_SPEC_FINAL_AR.md,41,NOT_YET_VERIFIED,NOT_YET_EXECUTED,NOT_YET_CREATED,NOT_APPLICABLE_BEFORE_IMPLEMENTATION
