file	bytes	lines
approved/clerk-private-profile-before-official-ui-20260707.html	8667	318
approved/clerk-private-profile-before-supabase-bridge-20260707.html	4647	182
approved/clerk-private-profile-before-tiger-care-card-20260707.html	22403	836
approved/clerk-private-profile-before-vip-membership-center-20260707.html	18971	719
approved/index-before-supabase-auth-20260704-191914.html	7912	155
approved/index-before-supabase-auth-20260704-192024.html	7912	155
approved/index-before-vvip-gate-login-20260707.html	7814	154
approved/index-supabase-auth-approved.html	8151	159
approved/index-supabase-auth-final.html	8096	158
approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	29194	1044
approved/legacy-auth-redirect-7-1/private-profile-before-redirect-20260708.html	24899	471
approved/nav-cleanup-7-1/public-profile-before-private-link-cleanup-20260708.html	55420	1373
approved/private-profile-auth-guard-approved.html	24815	470
approved/private-profile-auth-guard-final.html	24815	470
approved/private-profile-before-auth-guard.html	24639	467
approved/private-profile.desktop-approved.html	24639	467
approved/private-profile.final-approved.html	24639	467
approved/public-profile.final-approved.html	55340	1372
approved/public-profile.mobile-approved.html	55340	1372
approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	29126	1043
approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	8739	177
approved/visual-identity-pass-7-1/public-profile-before-visual-identity-20260708.html	55352	1372
auth-flow.html	514	16
backups/clerk-private-profile.before-atomic-profile-resolver.html	51688	1716
backups/clerk-private-profile.before-jwt-rls-bridge.html	45454	1527
backups/clerk-private-profile.before-pr15-launch-hardening.html	60582	1990
backups/clerk-private-profile.before-profile-resilience-shell.html	54479	1803
backups/clerk-private-profile.before-self-healing-profile-gateway.html	30408	1070
backups/visual-trust-layer/phase-2-2/public-profile.before-readable-lock.20260709-184736.html	55574	1375
clerk-private-profile.html	62939	2056
clerk-test.html	7155	256
data-deletion.html	3185	94
email-templates/confirm-email-en.html	8641	302
email-templates/confirm-email.html	9390	316
index.html	8937	180
privacy-policy.html	3570	104
private-profile.html	4789	162
public-profile.html	56015	1375
reset-password.html	2082	47
terms-of-service.html	3248	100
