priority_batch	priority_rank	track	indicator	file	line	preliminary_risk	triage_focus	required_manual_check	candidate_future_action
B1	1	Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_profiles_remove_legacy_auth_uid_policies.sql	2	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	2	Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	47	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	3	Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	65	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	4	Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	83	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	5	Secrets Review	POSSIBLE_SECRET_WORDING	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	84	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	6	Logging Review	CONSOLE_LOGGING	approved/auth-clerk-index-before-profile-button-fix-20260707.js	5	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	7	Logging Review	CONSOLE_LOGGING	approved/auth-clerk-index-before-profile-button-fix-20260707.js	88	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	8	Logging Review	CONSOLE_LOGGING	approved/auth-clerk-index-before-vvip-gate-login-20260707.js	5	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	9	Logging Review	CONSOLE_LOGGING	approved/auth-clerk-index-before-vvip-gate-login-20260707.js	110	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	10	Logging Review	CONSOLE_LOGGING	approved/clerk-private-profile-before-official-ui-20260707.html	306	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	11	Logging Review	CONSOLE_LOGGING	approved/clerk-private-profile-before-supabase-bridge-20260707.html	170	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	12	Logging Review	CONSOLE_LOGGING	approved/clerk-private-profile-before-tiger-care-card-20260707.html	824	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	13	Logging Review	CONSOLE_LOGGING	approved/clerk-private-profile-before-vip-membership-center-20260707.html	707	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	14	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	59	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	15	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	16	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	66	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	17	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	67	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	18	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-191914.html	111	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	19	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	59	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	20	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	61	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	21	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	66	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	22	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	67	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
B1	23	Secrets Review	POSSIBLE_SECRET_WORDING	approved/index-before-supabase-auth-20260704-192024.html	111	High	Identity, session, login, or private profile boundary	Confirm no token, JWT, session object, private profile data, or auth state is exposed	Potential future hardening PR if confirmed risky
