rank	file	bytes	lines
1	clerk-private-profile.html	62939	2056
2	backups/clerk-private-profile.before-pr15-launch-hardening.html	60582	1990
3	backups/clerk-private-profile.before-profile-resilience-shell.html	54479	1803
4	backups/clerk-private-profile.before-atomic-profile-resolver.html	51688	1716
5	backups/clerk-private-profile.before-jwt-rls-bridge.html	45454	1527
6	public-profile.html	56015	1375
7	backups/visual-trust-layer/phase-2-2/public-profile.before-readable-lock.20260709-184736.html	55574	1375
8	approved/nav-cleanup-7-1/public-profile-before-private-link-cleanup-20260708.html	55420	1373
9	approved/visual-identity-pass-7-1/public-profile-before-visual-identity-20260708.html	55352	1372
10	approved/public-profile.final-approved.html	55340	1372
11	approved/public-profile.mobile-approved.html	55340	1372
12	backups/clerk-private-profile.before-self-healing-profile-gateway.html	30408	1070
13	approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	29194	1044
14	approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	29126	1043
15	approved/clerk-private-profile-before-tiger-care-card-20260707.html	22403	836
16	approved/clerk-private-profile-before-vip-membership-center-20260707.html	18971	719
17	approved/legacy-auth-redirect-7-1/private-profile-before-redirect-20260708.html	24899	471
18	approved/private-profile-auth-guard-approved.html	24815	470
19	approved/private-profile-auth-guard-final.html	24815	470
20	approved/private-profile-before-auth-guard.html	24639	467
21	approved/private-profile.desktop-approved.html	24639	467
22	approved/private-profile.final-approved.html	24639	467
23	approved/clerk-private-profile-before-official-ui-20260707.html	8667	318
24	email-templates/confirm-email.html	9390	316
25	email-templates/confirm-email-en.html	8641	302
26	clerk-test.html	7155	256
27	approved/clerk-private-profile-before-supabase-bridge-20260707.html	4647	182
28	index.html	8937	180
29	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	8739	177
30	private-profile.html	4789	162
31	approved/index-supabase-auth-approved.html	8151	159
32	approved/index-supabase-auth-final.html	8096	158
33	approved/index-before-supabase-auth-20260704-191914.html	7912	155
34	approved/index-before-supabase-auth-20260704-192024.html	7912	155
35	approved/index-before-vvip-gate-login-20260707.html	7814	154
36	privacy-policy.html	3570	104
37	terms-of-service.html	3248	100
38	data-deletion.html	3185	94
39	reset-password.html	2082	47
40	auth-flow.html	514	16
