task_code,depends_on_task_code,type
G00-02,G00-01,recommended_sequence
G00-03,G00-02,recommended_sequence
G01-01,G00-03,phase_gate
G01-02,G01-01,recommended_sequence
G01-03,G01-02,recommended_sequence
G02-01,G01-03,phase_gate
G02-02,G02-01,recommended_sequence
G02-03,G02-02,recommended_sequence
G03-01,G02-03,phase_gate
G03-02,G03-01,recommended_sequence
G03-03,G03-02,recommended_sequence
G04-01,G02-03,phase_gate
G04-02,G04-01,recommended_sequence
G04-03,G04-02,recommended_sequence
G05-01,G04-03,phase_gate
G05-02,G05-01,recommended_sequence
G05-03,G05-02,recommended_sequence
G06-01,G00-03,phase_gate
G06-01,G02-03,phase_gate
G06-02,G06-01,recommended_sequence
G06-03,G06-02,recommended_sequence
G07-01,G04-03,phase_gate
G07-01,G05-03,phase_gate
G07-01,G06-03,phase_gate
G07-02,G07-01,recommended_sequence
G07-03,G07-02,recommended_sequence
G08-01,G06-03,phase_gate
G08-01,G07-03,phase_gate
G08-02,G08-01,recommended_sequence
G08-03,G08-02,recommended_sequence
G09-01,G05-03,phase_gate
G09-01,G08-03,phase_gate
G09-02,G09-01,recommended_sequence
G09-03,G09-02,recommended_sequence
G09-04,G09-03,recommended_sequence
G10-01,G05-03,phase_gate
G10-01,G09-04,phase_gate
G10-02,G10-01,recommended_sequence
G10-03,G10-02,recommended_sequence
G11-01,G09-04,phase_gate
G11-01,G10-03,phase_gate
G11-02,G11-01,recommended_sequence
G11-03,G11-02,recommended_sequence
G12-01,G04-03,phase_gate
G12-01,G05-03,phase_gate
G12-01,G09-04,phase_gate
G12-02,G12-01,recommended_sequence
G12-03,G12-02,recommended_sequence
G13-01,G12-03,phase_gate
G13-02,G13-01,recommended_sequence
G13-03,G13-02,recommended_sequence
G14-01,G05-03,phase_gate
G14-01,G09-04,phase_gate
G14-01,G12-03,phase_gate
G14-02,G14-01,recommended_sequence
G14-03,G14-02,recommended_sequence
G15-01,G04-03,phase_gate
G15-01,G14-03,phase_gate
G15-02,G15-01,recommended_sequence
G15-03,G15-02,recommended_sequence
G16-01,G05-03,phase_gate
G16-01,G06-03,phase_gate
G16-01,G14-03,phase_gate
G16-01,G15-03,phase_gate
G16-02,G16-01,recommended_sequence
G16-03,G16-02,recommended_sequence
G17-01,G04-03,phase_gate
G17-01,G05-03,phase_gate
G17-01,G06-03,phase_gate
G17-01,G16-03,phase_gate
G17-02,G17-01,recommended_sequence
G17-03,G17-02,recommended_sequence
G18-01,G07-03,phase_gate
G18-01,G09-04,phase_gate
G18-01,G11-03,phase_gate
G18-01,G12-03,phase_gate
G18-01,G13-03,phase_gate
G18-02,G18-01,recommended_sequence
G18-03,G18-02,recommended_sequence
G19-01,G05-03,phase_gate
G19-01,G09-04,phase_gate
G19-01,G11-03,phase_gate
G19-01,G17-03,phase_gate
G19-02,G19-01,recommended_sequence
G19-03,G19-02,recommended_sequence
G20-01,G02-03,phase_gate
G20-01,G03-03,phase_gate
G20-01,G05-03,phase_gate
G20-01,G11-03,phase_gate
G20-01,G12-03,phase_gate
G20-01,G17-03,phase_gate
G20-02,G20-01,recommended_sequence
G20-03,G20-02,recommended_sequence
G21-01,G00-03,phase_gate
G21-01,G04-03,phase_gate
G21-01,G05-03,phase_gate
G21-01,G06-03,phase_gate
G21-01,G14-03,phase_gate
G21-01,G17-03,phase_gate
G21-02,G21-01,recommended_sequence
G21-03,G21-02,recommended_sequence
G22-01,G11-03,phase_gate
G22-01,G12-03,phase_gate
G22-01,G14-03,phase_gate
G22-01,G15-03,phase_gate
G22-01,G16-03,phase_gate
G22-01,G17-03,phase_gate
G22-01,G18-03,phase_gate
G22-01,G20-03,phase_gate
G22-01,G21-03,phase_gate
G22-02,G22-01,recommended_sequence
G22-03,G22-02,recommended_sequence
