requirement_id,task_code,requirement_type,requirement_text,source_document,source_heading
REQ-00001,G00-01,عمل المبرمج خطوة بخطوة,1. يجمع المبرمج وصاحب المنتج القرارات في وثيقة versioned، وينشئ قائمة In Scope/Out of Scope ويربط كل Epic بها.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00002,G00-01,عمل المبرمج خطوة بخطوة,2. إنشاء ADR/PRD مرقم وربطه بسجل القرارات.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00003,G00-01,عمل المبرمج خطوة بخطوة,3. تحويل كل قرار إلى شرط قابل للاختبار أو إعداد قابل للتهيئة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00004,G00-01,عمل المبرمج خطوة بخطوة,4. تحديد من يعتمد التغيير ومدة الاستجابة قبل أن يصبح مانعًا.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00005,G00-01,عمل المبرمج خطوة بخطوة,5. تعريف API contract وحالات الخطأ والـrate limit قبل دمج الواجهة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00006,G00-01,عمل المبرمج خطوة بخطوة,6. إضافة unit/integration/E2E أو security tests بحسب حدود المهمة، وربطها بـCI.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00007,G00-01,عمل المبرمج خطوة بخطوة,7. نشرها خلف Feature Flag على Staging، جمع الدليل، ثم إعداد rollback أو forward-fix.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00008,G00-01,ما يجب أن يبنيه أو يعدله,وحدة المجال `product-governance`: entities/value objects/state rules من دون اعتماد مباشر على الواجهة أو المورد.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00009,G00-01,ما يجب أن يبنيه أو يعدله,طبقة application: use cases وخدمات تحقق ورسائل خطأ ثابتة ومترجمة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
REQ-00010,G00-01,ما يجب أن يبنيه أو يعدله,طبقة infrastructure: database/repository/provider adapter مع timeout/retry/idempotency عند الحاجة.,VVIP_TIGER_Global_Implementation_Specification_AR_v2.docx,G00-01 — وثيقة تعريف المنتج العالمي
