file	line	pattern	text
auth-clerk-index.js	1	action-surface	window.addEventListener("load", async function () {
auth-clerk-index.js	2	action-surface	  const card = document.querySelector(".fb-card");
auth-clerk-index.js	25	action-surface	      const authBox = document.getElementById("clerk-main-auth");
auth-clerk-index.js	45	action-surface	            <div id="clerk-user-button" style="margin:16px 0;"></div>
auth-clerk-index.js	49	action-surface	                href="clerk-private-profile.html"
auth-clerk-index.js	50	action-surface	                aria-label="فتح البروفايل الخاص"
auth-clerk-index.js	58	action-surface	                href="public-profile.html"
auth-clerk-index.js	59	action-surface	                aria-label="متابعة إلى الصفحة العامة"
auth-clerk-index.js	66	action-surface	              <button
auth-clerk-index.js	68	action-surface	                type="button"
auth-clerk-index.js	72	action-surface	              </button>
auth-clerk-index.js	77	action-surface	        const userButtonDiv = document.getElementById("clerk-user-button");
auth-clerk-index.js	78	action-surface	        if (userButtonDiv) {
auth-clerk-index.js	79	action-surface	          window.Clerk.mountUserButton(userButtonDiv);
auth-clerk-index.js	82	action-surface	        const signOutBtn = document.getElementById("clerk-sign-out-btn");
auth-clerk-index.js	84	action-surface	          signOutBtn.addEventListener("click", async function () {
auth-clerk-index.js	86	action-surface	            window.location.href = "index.html";
auth-clerk-index.js	102	action-surface	      const signInDiv = document.getElementById("clerk-sign-in");
auth-clerk-index.js	103	action-surface	      const clerkRedirectUrl = window.location.origin + "/index.html";
auth-flow.html	9	action-surface	    window.location.replace("index.html");
auth-flow.html	11	action-surface	  <link rel="stylesheet" href="styles/vvip-visual-trust-layer.css">
auth-supabase.js	7	action-surface	  let isSubmitting = false;
auth-supabase.js	35	action-surface	    return document.getElementById(id);
auth-supabase.js	51	action-surface	    const button = byId("email-login-btn");
auth-supabase.js	55	action-surface	    if (button) {
auth-supabase.js	56	action-surface	      button.disabled = Boolean(isBusy);
auth-supabase.js	57	action-surface	      button.textContent = isBusy ? LOADING_TEXT : "تسجيل الدخول";
auth-supabase.js	99	action-surface	    if (isSubmitting) return;
auth-supabase.js	120	action-surface	    isSubmitting = true;
auth-supabase.js	142	action-surface	        window.location.href = REDIRECT_AFTER_LOGIN;
auth-supabase.js	148	action-surface	      isSubmitting = false;
auth-supabase.js	159	action-surface	    input.addEventListener("keydown", function (event) {
auth-supabase.js	167	action-surface	    const loginButton = byId("email-login-btn");
auth-supabase.js	168	action-surface	    const googleButton = byId("google-btn");
auth-supabase.js	169	action-surface	    const facebookButton = byId("facebook-btn");
auth-supabase.js	174	action-surface	    if (!loginButton || !emailField || !passwordField) {
auth-supabase.js	183	action-surface	    loginButton.addEventListener("click", function () {
auth-supabase.js	190	action-surface	      emailField.addEventListener("keydown", function (event) {
auth-supabase.js	199	action-surface	    if (googleButton) {
auth-supabase.js	200	action-surface	      googleButton.addEventListener("click", function () {
auth-supabase.js	205	action-surface	    if (facebookButton) {
auth-supabase.js	206	action-surface	      facebookButton.addEventListener("click", function () {
auth-supabase.js	214	action-surface	          window.location.href = REDIRECT_AFTER_LOGIN;
auth-supabase.js	223	action-surface	    document.addEventListener("DOMContentLoaded", init);
auth.js	3	action-surface	    if (window.location.hostname === "127.0.0.1") {
auth.js	4	action-surface	      const nextUrl = new URL(window.location.href);
auth.js	6	action-surface	      window.location.replace(nextUrl.toString());
auth.js	54	action-surface	  const googleBtn = document.getElementById("google-btn");
auth.js	55	action-surface	  const facebookBtn = document.getElementById("facebook-btn");
auth.js	56	action-surface	  const logoutBtn = document.getElementById("logout-btn");
auth.js	57	action-surface	  const authMessage = document.getElementById("auth-message");
auth.js	58	action-surface	  const profileActions = document.getElementById("profile-actions");
auth.js	59	action-surface	  const continuePublicBtn = document.getElementById("continue-public-btn");
auth.js	60	action-surface	  const avatarPrivateBtn = document.getElementById("avatar-private-btn");
auth.js	61	action-surface	  const avatarFallback = document.getElementById("avatar-fallback");
auth.js	62	action-surface	  const verificationModal = document.getElementById("verification-modal");
auth.js	63	action-surface	  const verificationEmail = document.getElementById("verification-email");
auth.js	64	action-surface	  const closeVerification = document.getElementById("close-verification");
auth.js	65	action-surface	  const logoutConfirmModal = document.getElementById("logout-confirm-modal");
auth.js	66	action-surface	  const confirmLogoutBtn = document.getElementById("confirm-logout-btn");
auth.js	67	action-surface	  const cancelLogoutBtn = document.getElementById("cancel-logout-btn");
auth.js	68	action-surface	  const emailLoginBtn = document.getElementById("email-login-btn");
auth.js	69	action-surface	  const loginEmailInput = document.getElementById("login-email");
auth.js	70	action-surface	  const loginPasswordInput = document.getElementById("login-password");
auth.js	71	action-surface	  const toastRoot = document.getElementById("app-toast-root");
auth.js	134	action-surface	      const host = window.location.hostname || "localhost";
auth.js	167	action-surface	    const node = document.querySelector(selector);
auth.js	177	action-surface	    const navIndex = document.querySelector('[data-page-target="index"]');
auth.js	179	action-surface	    const navPublic = document.querySelector('[data-page-target="public-profile"]');
auth.js	181	action-surface	    const navPrivate = document.querySelector('[data-page-target="private-profile"]');
auth.js	183	action-surface	    const navReset = document.querySelector('[data-page-target="reset-password"]');
auth.js	186	action-surface	    const langGroup = document.querySelector(".entry-lang-switch");
auth.js	187	action-surface	    if (langGroup) langGroup.setAttribute("aria-label", tx(AUTH_TEXT.switchLanguageGroupAria));
auth.js	189	action-surface	    const googleLabel = document.querySelector("#google-btn .auth-label");
auth.js	191	action-surface	    const facebookLabel = document.querySelector("#facebook-btn .auth-label");
auth.js	194	action-surface	    if (googleBtn) googleBtn.setAttribute("aria-label", tx(AUTH_TEXT.googleAria));
auth.js	195	action-surface	    if (facebookBtn) facebookBtn.setAttribute("aria-label", tx(AUTH_TEXT.facebookAria));
auth.js	198	action-surface	    if (avatarPrivateBtn) avatarPrivateBtn.setAttribute("aria-label", tx(AUTH_TEXT.avatarAria));
auth.js	204	action-surface	    const verificationMessage = document.querySelector("#verification-modal .verification-message");
auth.js	223	action-surface	    const langButtons = Array.from(document.querySelectorAll("[data-auth-lang]"));
auth.js	224	action-surface	    langButtons.forEach(function (button) {
auth.js	225	action-surface	      const btnLang = normalizeLang(button.getAttribute("data-auth-lang"));
auth.js	227	action-surface	      button.classList.toggle("active", isActive);
auth.js	228	action-surface	      button.setAttribute("aria-pressed", isActive ? "true" : "false");
auth.js	233	action-surface	    const langButtons = Array.from(document.querySelectorAll("[data-auth-lang]"));
auth.js	238	action-surface	    if (!langButtons.length) return;
auth.js	240	action-surface	    langButtons.forEach(function (button) {
auth.js	241	action-surface	      button.addEventListener("click", function () {
auth.js	242	action-surface	        const nextLang = normalizeLang(button.getAttribute("data-auth-lang"));
auth.js	265	action-surface	  function setButtonLoading(button, isLoading) {
auth.js	266	action-surface	    if (!button) return;
auth.js	267	action-surface	    button.classList.toggle("is-loading", isLoading);
auth.js	268	action-surface	    button.disabled = Boolean(isLoading);
auth.js	269	action-surface	    button.setAttribute("aria-busy", isLoading ? "true" : "false");
auth.js	271	action-surface	      button.setAttribute("data-loading-start", String(Date.now()));
auth.js	273	action-surface	      button.removeAttribute("data-loading-start");
auth.js	277	action-surface	  function releaseStaleOAuthButtons() {
auth.js	278	action-surface	    [googleBtn, facebookBtn].forEach(function (button) {
auth.js	279	action-surface	      if (!button || !button.disabled) return;
auth.js	280	action-surface	      const startedAt = Number(button.getAttribute("data-loading-start") || "0");
auth.js	285	action-surface	        setButtonLoading(button, false);
auth.js	290	action-surface	  window.setInterval(releaseStaleOAuthButtons, 1200);
auth.js	291	action-surface	  window.addEventListener("focus", releaseStaleOAuthButtons);
auth.js	292	action-surface	  document.addEventListener("visibilitychange", function () {
auth.js	294	action-surface	      releaseStaleOAuthButtons();
auth.js	315	action-surface	    const verificationMessage = document.querySelector("#verification-modal .verification-message");
auth.js	330	action-surface	    const sourceButton = providerName === "Google" ? googleBtn : facebookBtn;
auth.js	332	action-surface	    setButtonLoading(sourceButton, true);
auth.js	363	action-surface	          console.error('📌 Firebase Authorized Domains required:', window.location.hostname);
auth.js	380	action-surface	          url: window.location.origin + "/index.html"
auth.js	398	action-surface	      setButtonLoading(sourceButton, false);
auth.js	403	action-surface	    googleBtn.addEventListener("click", function () {
auth.js	409	action-surface	    facebookBtn.addEventListener("click", function () {
