file	kind	bytes	lines	reason
auth-clerk-index.js	js	5122	130	live-javascript-behavior-candidate
auth-flow.html	html	514	16	live-html-entry-or-page
auth-supabase.js	js	7270	226	live-javascript-behavior-candidate
auth.js	js	25849	589	live-javascript-behavior-candidate
clerk-private-profile.html	html	62939	2056	live-html-entry-or-page
clerk-test.html	html	7155	256	live-html-entry-or-page
data-deletion.html	html	3185	94	live-html-entry-or-page
email-templates/confirm-email-en.html	html	8641	302	live-html-entry-or-page
email-templates/confirm-email.html	html	9390	316	live-html-entry-or-page
enhanced-components.css	css	32215	1333	live-style-candidate
index.html	html	8937	180	live-html-entry-or-page
privacy-policy.html	html	3570	104	live-html-entry-or-page
private-profile.html	html	4789	162	live-html-entry-or-page
public-profile.html	html	56015	1375	live-html-entry-or-page
reset-password.html	html	2082	47	live-html-entry-or-page
reset-password.js	js	2763	77	live-javascript-behavior-candidate
scripts/profile-loader.js	js	6720	233	live-javascript-behavior-candidate
scripts/require-auth.js	js	832	30	live-javascript-behavior-candidate
scripts/supabase-auth-bridge.js	js	4200	164	live-javascript-behavior-candidate
scripts/supabase-config.js	js	428	11	live-javascript-behavior-candidate
scripts/vvip-safe-ux-guard.js	js	3591	120	live-javascript-behavior-candidate
social-ui.js	js	131774	3286	live-javascript-behavior-candidate
styles.css	css	83394	4404	live-style-candidate
styles/vvip-visual-trust-layer.css	css	16714	825	live-style-candidate
sw.js	js	1357	64	live-javascript-behavior-candidate
terms-of-service.html	html	3248	100	live-html-entry-or-page
vvip-identity.css	css	10761	480	live-style-candidate
