task_code,phase_code,task_title,priority,wave,workflow_status,baseline_status,goal,user_benefit,platform_benefit,prerequisites,responsible_roles,estimate,reference_path
G00-01,G00,وثيقة تعريف المنتج العالمي,P1 — عالٍ,W0 — الأساس والأمان,backlog,جزئي — الرؤية والوثائق موجودة وتحتاج عقد Global V1 نهائي,يحوّل رؤية المنصة إلى عقد منتج ثابت يحدد المستخدمين والقطاعات والميزات وحدود المسؤولية.,يعرف المستخدم بوضوح ما تقدمه المنصة وما لا تقدمه.,يمنع تضخم النطاق ويجعل التكلفة والموعد قابلين للقياس.,قرارات G00 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product Owner (A)، Technical Lead (R)، Legal/UX (C)، الفريق (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/product-governance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G00-02,G00,تحديد نموذج الإيرادات العالمي,P1 — عالٍ,W0 — الأساس والأمان,backlog,جزئي — الرؤية والوثائق موجودة وتحتاج عقد Global V1 نهائي,تحديد الاشتراكات، الإعلانات المميزة، باقات الشركات، وما يؤجل بعد الإطلاق.,يحصل المستخدم على أسعار وباقات مفهومة دون رسوم مفاجئة.,يوحد منطق الاستحقاقات والفوترة منذ البداية.,قرارات G00 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product Owner (A)، Technical Lead (R)، Legal/UX (C)، الفريق (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/product-governance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G00-03,G00,سياسة الدول واللغات والإطلاق,P1 — عالٍ,W0 — الأساس والأمان,backlog,جزئي — الرؤية والوثائق موجودة وتحتاج عقد Global V1 نهائي,تحديد الدول المسموحة والمحظورة واللغات الأولية وآلية التوسع.,تجربة محلية مناسبة للغة والعملة والقانون.,إطلاق عالمي قابل للتحكم بدل فتح غير منضبط.,قرارات G00 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Product Owner (A)، Technical Lead (R)، Legal/UX (C)، الفريق (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/product-governance — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G01-01,G01,جرد المستودع والملفات والفروع,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — تدقيق وتنظيف المستودع مطلوبان قبل التوسع,حصر كل ما هو مدمج ومحلي وتجريبي وقديم.,يحمي المستخدم من أعطال ناتجة عن أكواد متعارضة.,يمنع ضياع العمل ويقلل الدين التقني.,قرارات G01 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Technical Lead (A/R)، Full-Stack وQA (R)، Product Owner (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/repository-audit — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G01-02,G01,تثبيت مصدر الحقيقة,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — تدقيق وتنظيف المستودع مطلوبان قبل التوسع,اعتماد مستودع واحد وفرع main واحد وحالة رسمية للمراحل.,يحصل المستخدم على نسخة مستقرة متسقة.,يمنع اختلاف النسخ بين المطورين.,قرارات G01 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Technical Lead (A/R)، Full-Stack وQA (R)، Product Owner (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/repository-audit — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G01-03,G01,تنظيف Runtime والنسخ القديمة,P0 — حرج,W0 — الأساس والأمان,backlog,قيد التنفيذ — تدقيق وتنظيف المستودع مطلوبان قبل التوسع,إزالة تحميل أنظمة أو سكربتات متكررة مع حفظ أرشيف قابل للاسترجاع.,صفحات أسرع وأخطاء أقل.,خفض التعقيد ومساحة الهجوم.,قرارات G01 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,Technical Lead (A/R)، Full-Stack وQA (R)، Product Owner (I),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/repository-audit — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G02-01,G02,إنشاء CI إلزامي,P0 — حرج,W0 — الأساس والأمان,backlog,جزئي — توجد اختبارات محلية لكن بوابة CI المنشورة غير مكتملة,تشغيل البناء والاختبارات والفحوص الأمنية على كل PR.,إصدارات أكثر استقرارًا.,تقليل الأعطال اليدوية وتوحيد الجودة.,قرارات G02 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-ci — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G02-02,G02,إعداد البيئات المنفصلة,P0 — حرج,W0 — الأساس والأمان,backlog,جزئي — توجد اختبارات محلية لكن بوابة CI المنشورة غير مكتملة,Development وStaging وProduction بمفاتيح وقواعد بيانات منفصلة.,يحمي بيانات المستخدم من تجارب المطورين.,يمنع نشرًا غير مقصود ويسهل الاختبار.,قرارات G02 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-ci — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G02-03,G02,النشر والتراجع وFeature Flags,P0 — حرج,W0 — الأساس والأمان,backlog,جزئي — توجد اختبارات محلية لكن بوابة CI المنشورة غير مكتملة,نشر آلي قابل للعكس وتشغيل الميزات تدريجيًا.,يتجنب المستخدم أعطالًا واسعة عند إطلاق ميزة.,يتيح تعطيل الوظائف الحساسة دون نشر جديد.,قرارات G02 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE (R)، Technical Lead (A)، QA/Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-ci — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
G03-01,G03,DNS وCDN وWAF عالمي,P1 — عالٍ,W0 — الأساس والأمان,backlog,لم يبدأ إنتاجيًا,توجيه سريع وحماية أولية من الهجمات.,تحميل أسرع من مناطق مختلفة.,خفض الضغط وحماية الخدمة.,قرارات G03 المعتمدة، بيئة Staging، صلاحيات الخدمات، ومخططات/تصاميم ذات صلة.,DevOps/SRE وBackend (R)، Technical Lead (A)، Security (C),تجزأ داخل Sprint؛ التقدير النهائي بعد Grooming ضمن مدة المرحلة.,apps/web أو src/modules/platform-runtime — server/services — supabase/migrations — tests/unit|integration|e2e — docs/adr
