rank	file	action_indicators
1	approved/social-ui-before-tiger-care-feedback-fix-20260708.js	140
2	social-ui.js	140
3	approved/social-ui-before-force-post-options-menu-20260708.js	139
4	approved/social-ui-before-post-options-menu-tiger-care-20260707.js	126
5	backups/visual-trust-layer/phase-2-2/public-profile.before-readable-lock.20260709-184736.html	88
6	public-profile.html	88
7	approved/nav-cleanup-7-1/public-profile-before-private-link-cleanup-20260708.html	87
8	approved/public-profile.final-approved.html	86
9	approved/public-profile.mobile-approved.html	86
10	approved/visual-identity-pass-7-1/public-profile-before-visual-identity-20260708.html	86
11	approved/legacy-auth-redirect-7-1/private-profile-before-redirect-20260708.html	44
12	approved/private-profile-auth-guard-approved.html	44
13	approved/private-profile-auth-guard-final.html	44
14	approved/private-profile-before-auth-guard.html	44
15	approved/private-profile.desktop-approved.html	44
16	approved/private-profile.final-approved.html	44
17	auth.js	35
18	clerk-private-profile.html	32
19	backups/clerk-private-profile.before-pr15-launch-hardening.html	28
20	index.html	26
21	approved/index-before-supabase-auth-20260704-191914.html	24
22	approved/index-before-supabase-auth-20260704-192024.html	24
23	approved/index-before-vvip-gate-login-20260707.html	24
24	approved/index-supabase-auth-approved.html	24
25	approved/index-supabase-auth-final.html	24
26	approved/visual-identity-pass-7-1/index-before-visual-identity-20260708.html	24
27	backups/clerk-private-profile.before-atomic-profile-resolver.html	24
28	backups/clerk-private-profile.before-jwt-rls-bridge.html	24
29	backups/clerk-private-profile.before-profile-resilience-shell.html	24
30	private-profile.html	14
31	approved/legacy-auth-audit-7-1/clerk-private-profile-before-linkrel-fix-20260708.html	13
32	backups/clerk-private-profile.before-self-healing-profile-gateway.html	13
33	approved/visual-identity-pass-7-1/clerk-private-profile-before-visual-identity-20260708.html	12
34	approved/clerk-private-profile-before-tiger-care-card-20260707.html	10
35	approved/clerk-private-profile-before-vip-membership-center-20260707.html	10
36	approved/auth-clerk-index-before-profile-button-fix-20260707.js	8
37	approved/auth-clerk-index-before-vvip-gate-login-20260707.js	8
38	approved/clerk-private-profile-before-official-ui-20260707.html	8
39	auth-clerk-index.js	8
40	auth-supabase.js	8
41	clerk-test.html	8
42	approved/clerk-private-profile-before-supabase-bridge-20260707.html	7
43	reset-password.html	7
44	approved/require-auth-approved.js	5
45	approved/require-auth-final.js	5
46	approved/supabase-auth-bridge-approved.js	5
47	approved/supabase-auth-bridge-final.js	5
48	email-templates/confirm-email-en.html	5
49	email-templates/confirm-email.html	5
50	reset-password.js	5
51	scripts/require-auth.js	5
52	scripts/supabase-auth-bridge.js	5
53	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	3
54	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	3
55	approved/sw-before-post-options-cache-fix-20260708.js	3
56	scripts/profile-loader.js	3
57	scripts/vvip-safe-ux-guard.js	3
58	sw.js	3
59	auth-flow.html	2
60	data-deletion.html	1
61	privacy-policy.html	1
62	terms-of-service.html	1
