priority_batch	file	finding_count	possible_secret_wording_count	console_logging_count	recommended_review_action
B1	backups/clerk-private-profile.before-profile-resilience-shell.html	28	13	15	Manual review first; do not print source line contents
B1	clerk-private-profile.html	26	13	13	Manual review first; do not print source line contents
B1	backups/clerk-private-profile.before-atomic-profile-resolver.html	24	12	12	Manual review first; do not print source line contents
B1	auth.js	16	12	4	Manual review first; do not print source line contents
B1	supabase/migrations/20260709_vvip_tiger_atomic_profile_resolver_rpc.sql	15	15	0	Manual review first; do not print source line contents
B1	approved/supabase-auth-bridge-approved.js	10	7	3	Manual review first; do not print source line contents
B1	approved/supabase-auth-bridge-final.js	10	7	3	Manual review first; do not print source line contents
B1	auth-supabase.js	10	9	1	Manual review first; do not print source line contents
B1	scripts/supabase-auth-bridge.js	10	7	3	Manual review first; do not print source line contents
B1	backups/clerk-private-profile.before-jwt-rls-bridge.html	9	0	9	Manual review first; do not print source line contents
B1	supabase/migrations/20260709_vvip_tiger_profiles_clerk_jwt_rls_bridge.sql	6	6	0	Manual review first; do not print source line contents
B1	approved/index-before-supabase-auth-20260704-191914.html	5	5	0	Manual review first; do not print source line contents
B1	approved/index-before-supabase-auth-20260704-192024.html	5	5	0	Manual review first; do not print source line contents
B1	approved/index-before-vvip-gate-login-20260707.html	5	5	0	Manual review first; do not print source line contents
B1	approved/index-supabase-auth-approved.html	5	5	0	Manual review first; do not print source line contents
B1	approved/index-supabase-auth-final.html	5	5	0	Manual review first; do not print source line contents
B1	approved/require-auth-approved.js	5	0	5	Manual review first; do not print source line contents
B1	approved/require-auth-final.js	5	0	5	Manual review first; do not print source line contents
B1	scripts/require-auth.js	5	0	5	Manual review first; do not print source line contents
B1	20260708_vvip_tiger_public_profiles_clerk_runtime_fix.sql	4	4	0	Manual review first; do not print source line contents
B1	supabase/migrations/20260707_vvip_tiger_clerk_profiles_table.sql	4	4	0	Manual review first; do not print source line contents
B1	scripts/profile-loader.js	3	0	3	Manual review first; do not print source line contents
B1	approved/auth-clerk-index-before-profile-button-fix-20260707.js	2	0	2	Manual review first; do not print source line contents
B1	approved/auth-clerk-index-before-vvip-gate-login-20260707.js	2	0	2	Manual review first; do not print source line contents
B1	approved/legacy-auth-redirect-7-1/sw-before-legacy-auth-audit-20260708.js	2	2	0	Manual review first; do not print source line contents
B1	approved/service-worker-clerk-cache-7-1/sw-before-clerk-cache-cleanup-20260708.js	2	2	0	Manual review first; do not print source line contents
B1	auth-clerk-index.js	2	0	2	Manual review first; do not print source line contents
B1	20260708_vvip_tiger_profiles_remove_legacy_auth_uid_policies.sql	1	1	0	Manual review first; do not print source line contents
B1	approved/clerk-private-profile-before-official-ui-20260707.html	1	0	1	Manual review first; do not print source line contents
B1	approved/clerk-private-profile-before-supabase-bridge-20260707.html	1	0	1	Manual review first; do not print source line contents
B1	approved/clerk-private-profile-before-tiger-care-card-20260707.html	1	0	1	Manual review first; do not print source line contents
B1	approved/clerk-private-profile-before-vip-membership-center-20260707.html	1	0	1	Manual review first; do not print source line contents
